model,metric,point,ci_low,ci_high
ARIMA,rmse,1905.3065563136154,1544.29687614815,2288.565757344478
ARIMA,mae,1295.8584194695184,1062.0918189504757,1552.5309342885644
ARIMA,r2,0.855860287568188,0.8240684236999858,0.8870039027298161
SARIMA,rmse,1938.4584525836408,1587.4918859362797,2314.9744156528586
SARIMA,mae,1363.4867498252186,1133.8203513796689,1619.0535221970506
SARIMA,r2,0.8508006532309614,0.8175744519299073,0.8820329854008606
SARIMAX,rmse,1881.3838746070696,1506.135333574193,2271.936402876551
SARIMAX,mae,1230.0683049905701,991.1471105597165,1490.328588268561
SARIMAX,r2,0.8594571480440789,0.82677470072362,0.8922507248025018
Prophet,rmse,2692.9553771791225,2324.222698593923,3077.742304414505
Prophet,mae,2026.1913808411232,1719.9131547336,2358.604645928501
Prophet,r2,0.7120532098063328,0.6115477149656076,0.7736613354254904
XGBoost,rmse,2270.089310791903,1817.8016125750473,2724.3820950306927
XGBoost,mae,1525.4345923580688,1234.0043303567327,1849.1696368508153
XGBoost,r2,0.7953838942539704,0.7493187042980414,0.8366439286619918
Hybrid_ARIMA_XGBoost,rmse,1820.813101592087,1506.1279126438344,2129.4534819378846
Hybrid_ARIMA_XGBoost,mae,1318.9002875926594,1105.4399073839438,1537.6904183001004
Hybrid_ARIMA_XGBoost,r2,0.8683609720168708,0.8402100003103948,0.8944972039764288
LSTM_univariate,rmse,2508.0105673585454,2118.2838970556804,2937.653208522569
LSTM_univariate,mae,1740.9974613944748,1446.1552645510685,2071.770315011152
LSTM_univariate,r2,0.7502458855383491,0.6960121525949795,0.7886541777544006
