,rmse,mae,mape,r2,bias,directional_accuracy
Baseline_Drift,1805.3872605018998,1259.7496453946362,6.826476915920783,0.8705820027985259,-756.154775928924,62.18487394957983
Hybrid_ARIMA_XGBoost,1820.813101592087,1318.9002875926594,7.262213302085398,0.8683609720168708,-772.3580073738952,59.66386554621849
SARIMAX,1881.3838746070696,1230.0683049905701,6.485904800397561,0.8594571480440789,-797.4409514086622,62.18487394957983
ARIMA,1905.3065563136154,1295.8584194695184,6.920822305990984,0.855860287568188,-865.2496395353446,57.14285714285714
SARIMA,1938.4584525836408,1363.4867498252186,7.42071523976553,0.8508006532309614,-927.0460197510696,55.46218487394958
Baseline_LastValue,2048.617542388219,1430.4044158090949,7.6556318689492935,0.8333613640252707,-1098.4279170494488,5.042016806722689
XGBoost,2270.089310791903,1525.4345923580688,7.9192750078890555,0.7953838942539704,-1438.295342802529,60.50420168067227
LSTM_univariate,2508.0105673585454,1740.9974613944748,9.098152135154537,0.7502458855383491,-1573.2110303914476,47.05882352941176
Prophet,2692.9553771791225,2026.1913808411232,12.304226583093701,0.7120532098063328,-1100.1527029159447,46.21848739495798
Baseline_TrainMean,8919.715007834548,7893.680573209697,44.78262305751695,-2.1590455248093123,-7893.680573209697,5.042016806722689
