start,end,adf_stat,adf_pvalue,n
2000-08-01,2002-02-01,-0.24666336408021822,0.9327260557908973,19
2002-02-01,2005-06-01,-1.0896894445314678,0.7191660720818491,41
2006-05-01,2007-11-01,3.2064004986829207,1.0,19
2008-03-01,2009-02-01,0.9867615853850887,0.9941242853245535,12
2010-06-01,2011-08-01,0.8620698899384526,0.9925748158750475,15
2011-09-01,2013-05-01,-0.7108650617792414,0.8439151335265215,21
2013-07-01,2016-07-01,-0.6892799374450087,0.8495067695559151,37
2016-08-01,2018-08-01,-2.503306269707851,0.11467194478527187,25
2020-04-01,2022-03-01,-0.0011464008849579922,0.9584371767646385,24
2022-04-01,2024-03-01,-0.08786863380544735,0.9506335386681884,24
